,subject,bvp,time_elapsed
516,11,30.81,8.0625
517,11,31.1,8.078125
518,11,30.77,8.09375
519,11,29.92,8.109375
520,11,28.75,8.125
521,11,27.44,8.140625
522,11,26.11,8.15625
523,11,24.86,8.171875
524,11,23.74,8.1875
525,11,22.8,8.203125
526,11,22.09,8.21875
527,11,21.69,8.234375
528,11,21.59,8.25
529,11,21.76,8.265625
530,11,22.07,8.28125
531,11,22.3,8.296875
532,11,22.29,8.3125
533,11,21.92,8.328125
534,11,21.19,8.34375
535,11,20.19,8.359375
536,11,19.05,8.375
537,11,17.84,8.390625
538,11,16.59,8.40625
539,11,15.27,8.421875
540,11,13.86,8.4375
541,11,12.34,8.453125
542,11,10.72,8.46875
543,11,9.01,8.484375
544,11,7.21,8.5
545,11,5.33,8.515625
546,11,3.37,8.53125
547,11,1.38,8.546875
548,11,-0.58,8.5625
549,11,-2.47,8.578125
550,11,-4.26,8.59375
551,11,-5.97,8.609375
552,11,-7.66,8.625
553,11,-9.38,8.640625
554,11,-11.2,8.65625
555,11,-13.18,8.671875
556,11,-15.39,8.6875
557,11,-17.85,8.703125
558,11,-20.47,8.71875
559,11,-23.06,8.734375
560,11,-25.4,8.75
561,11,-27.3,8.765625
562,11,-28.76,8.78125
563,11,-30.01,8.796875
564,11,-31.47,8.8125
565,11,-33.63,8.828125
566,11,-36.73,8.84375
567,11,-40.61,8.859375
568,11,-44.67,8.875
569,11,-47.88,8.890625
570,11,-49.11,8.90625
571,11,-47.48,8.921875
572,11,-42.63,8.9375
573,11,-34.84,8.953125
574,11,-25.01,8.96875
575,11,-14.35,8.984375
576,11,-4.08,9.0
577,11,4.83,9.015625
578,11,11.86,9.03125
579,11,16.86,9.046875
580,11,20.05,9.0625
581,11,21.81,9.078125
582,11,22.56,9.09375
583,11,22.69,9.109375
584,11,22.48,9.125
585,11,22.06,9.140625
586,11,21.43,9.15625
587,11,20.55,9.171875
588,11,19.45,9.1875
589,11,18.22,9.203125
590,11,17.07,9.21875
591,11,16.19,9.234375
592,11,15.7,9.25
593,11,15.6,9.265625
594,11,15.8,9.28125
595,11,16.21,9.296875
596,11,16.77,9.3125
597,11,17.38,9.328125
598,11,17.96,9.34375
599,11,18.34,9.359375
600,11,18.29,9.375
601,11,17.62,9.390625
602,11,16.35,9.40625
603,11,14.64,9.421875
604,11,12.78,9.4375
605,11,11.06,9.453125
606,11,9.64,9.46875
607,11,8.5,9.484375
608,11,7.48,9.5
609,11,6.38,9.515625
610,11,5.04,9.53125
611,11,3.4,9.546875
612,11,1.53,9.5625
613,11,-0.43,9.578125
614,11,-2.35,9.59375
615,11,-4.13,9.609375
616,11,-5.8,9.625
617,11,-7.44,9.640625
618,11,-9.21,9.65625
619,11,-11.25,9.671875
620,11,-13.58,9.6875
621,11,-16.16,9.703125
622,11,-18.82,9.71875
623,11,-21.39,9.734375
624,11,-23.7,9.75
625,11,-25.66,9.765625
626,11,-27.32,9.78125
627,11,-28.81,9.796875
628,11,-30.42,9.8125
629,11,-32.47,9.828125
630,11,-35.2,9.84375
631,11,-38.69,9.859375
632,11,-42.7,9.875
633,11,-46.67,9.890625
634,11,-49.74,9.90625
635,11,-50.98,9.921875
636,11,-49.62,9.9375
637,11,-45.28,9.953125
638,11,-38.15,9.96875
639,11,-28.93,9.984375
640,11,-18.67,10.0
641,11,-8.49,10.015625
642,11,0.66,10.03125
643,11,8.25,10.046875
644,11,14.07,10.0625
645,11,18.2,10.078125
646,11,20.9,10.09375
647,11,22.44,10.109375
648,11,23.04,10.125
649,11,22.91,10.140625
650,11,22.26,10.15625
651,11,21.28,10.171875
652,11,20.17,10.1875
653,11,19.06,10.203125
654,11,18.06,10.21875
655,11,17.18,10.234375
656,11,16.44,10.25
657,11,15.86,10.265625
658,11,15.5,10.28125
659,11,15.47,10.296875
660,11,15.78,10.3125
661,11,16.39,10.328125
662,11,17.11,10.34375
663,11,17.75,10.359375
664,11,18.11,10.375
665,11,18.07,10.390625
666,11,17.59,10.40625
667,11,16.64,10.421875
668,11,15.28,10.4375
669,11,13.59,10.453125
670,11,11.74,10.46875
671,11,9.95,10.484375
672,11,8.4,10.5
673,11,7.17,10.515625
674,11,6.11,10.53125
675,11,4.98,10.546875
676,11,3.55,10.5625
677,11,1.75,10.578125
678,11,-0.21,10.59375
679,11,-2.04,10.609375
680,11,-3.47,10.625
681,11,-4.54,10.640625
682,11,-5.53,10.65625
683,11,-6.89,10.671875
684,11,-8.95,10.6875
685,11,-11.74,10.703125
686,11,-15.0,10.71875
687,11,-18.28,10.734375
688,11,-21.21,10.75
689,11,-23.62,10.765625
690,11,-25.65,10.78125
691,11,-27.57,10.796875
692,11,-29.77,10.8125
693,11,-32.58,10.828125
694,11,-36.17,10.84375
695,11,-40.58,10.859375
696,11,-45.52,10.875
697,11,-50.29,10.890625
698,11,-53.84,10.90625
699,11,-54.98,10.921875
700,11,-52.77,10.9375
701,11,-46.95,10.953125
702,11,-38.06,10.96875
703,11,-27.36,10.984375
704,11,-16.36,11.0
705,11,-6.3,11.015625
706,11,2.12,11.03125
707,11,8.79,11.046875
708,11,13.95,11.0625
709,11,17.9,11.078125
710,11,20.78,11.09375
711,11,22.65,11.109375
712,11,23.55,11.125
713,11,23.67,11.140625
714,11,23.26,11.15625
715,11,22.6,11.171875
716,11,21.83,11.1875
717,11,21.01,11.203125
718,11,20.11,11.21875
719,11,19.17,11.234375
720,11,18.4,11.25
721,11,18.04,11.265625
722,11,18.3,11.28125
723,11,19.21,11.296875
724,11,20.49,11.3125
725,11,21.74,11.328125
726,11,22.54,11.34375
727,11,22.72,11.359375
728,11,22.26,11.375
729,11,21.37,11.390625
730,11,20.26,11.40625
731,11,19.07,11.421875
732,11,17.79,11.4375
733,11,16.36,11.453125
734,11,14.71,11.46875
735,11,12.82,11.484375
736,11,10.75,11.5
737,11,8.54,11.515625
738,11,6.26,11.53125
739,11,3.9,11.546875
740,11,1.43,11.5625
741,11,-1.16,11.578125
742,11,-3.89,11.59375
743,11,-6.76,11.609375
744,11,-9.73,11.625
745,11,-12.75,11.640625
746,11,-15.8,11.65625
747,11,-18.84,11.671875
748,11,-21.82,11.6875
749,11,-24.66,11.703125
750,11,-27.26,11.71875
751,11,-29.58,11.734375
752,11,-31.67,11.75
753,11,-33.81,11.765625
754,11,-36.4,11.78125
755,11,-39.81,11.796875
756,11,-44.05,11.8125
757,11,-48.67,11.828125
758,11,-52.69,11.84375
759,11,-54.87,11.859375
760,11,-54.08,11.875
761,11,-49.72,11.890625
762,11,-41.94,11.90625
763,11,-31.62,11.921875
764,11,-20.14,11.9375
765,11,-8.87,11.953125
766,11,1.12,11.96875
767,11,9.29,11.984375
